"Jenis Prasarana","Jumlah","Total Luas (m²)"
"Ruang Kelas","22","1998"
"Ruang Praktik Siswa","6","928"
"Laboratorium Komputer","2","360"
"Perpustakaan","2","165"
"Ruang Guru","2","184"
"Ruang Kepala Sekolah","1","125"
"Ruang Wakil Kepala Sekolah","1","60"
"Ruang Tata Usaha","2","117"
"Ruang Bimbingan Konseling","1","24"
"Ruang UKS","1","85"
"Kamar Mandi / WC","18","87"
"Gudang","2","60"
"Lapangan","2","3750"
"Kolam","1","72"
"Tempat Parkir","1","30"
"TOTAL","64","8044"
